State_x,District,NDVI,Rainfall,Temperature,Year,,Area,Production,Yield,Crop
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Bajra_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Cotton(lint)_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Cowpea(Lobia)_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Dry chillies_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Ginger_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Groundnut_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,2000,1000,0.5,Jowar_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,1000,3100,3.1,Maize_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,500,300,0.6,Moong(Green Gram)_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Other Kharif pulses_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,other oilseeds_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Potato_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Ragi_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,120000,441000,3.68,Rice_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Sesamum_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Small millets_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Sugarcane_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,4800,14500,3.02,Sunflower_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Sweet potato_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Tapioca_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Tobacco_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,200,100,0.5,Urad_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Arecanut_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Cashewnut_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Castor seed_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Coriander_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Horse-gram_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Linseed_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Oilseeds total_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Onion_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Soyabean_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Turmeric_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Safflower_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Gram_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Rapeseed &Mustard_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Sannhamp_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Mesta_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Wheat_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Niger seed_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Black pepper_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Guar seed_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,1540,16700,10.84,Peas & beans (Pulses)_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Jute_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Barley_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Moth_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Other Cereals_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Masoor_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Banana_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Mango_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Brinjal_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Garlic_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Other Rabi pulses_Kharif
Haryana,Kurukshetra,5504.149856,778.3404039,28.77299898,2015,,0,0,0,Total foodgrain_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Arhar/Tur_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,89000,135000,1.52,Bajra_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,17000,35000,2.06,Cotton(lint)_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Cowpea(Lobia)_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Dry chillies_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Ginger_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Groundnut_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Jowar_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Maize_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,100,60,0.6,Moong(Green Gram)_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Other Kharif pulses_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,other oilseeds_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Potato_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Ragi_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Rice_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Sesamum_Kharif
Haryana,Mahendragarh,4143.889521,304.1453815,29.92435441,2015,,0,0,0,Small millets_Kharif
